data;casos_suspeitos;casos_confirmados_total;casos_confirmados_novos;casos_curados_total;casos_curados_novos;casos_descartados_total;casos_descartados_novos;mortes_total;mortes_novos;mortes_100milHab;casos_ativos;dif_casos_ativos;casos_ativos_100milHab;exames_realizados_total;testes_realizados_novos;mes;num_mes;ano;num_report;report_time;cidade;uf
18/03/2020;51;0;0;0;0;19;19;0;0;0;0;0;0;19;19;março;3;2020;1;14:00;Itajaí;SC
18/03/2020;51;0;0;0;0;19;0;0;0;0;0;0;0;19;0;março;3;2020;2;18:30;Itajaí;SC
19/03/2020;51;0;0;0;0;19;0;0;0;0;0;0;0;19;0;março;3;2020;3;09:00;Itajaí;SC
19/03/2020;62;0;0;0;0;20;1;0;0;0;0;0;0;20;1;março;3;2020;4;18:30;Itajaí;SC
20/03/2020;61;1;1;0;0;20;0;0;0;0;1;1;0,454545455;21;1;março;3;2020;5;11:00;Itajaí;SC
20/03/2020;56;1;0;0;0;20;0;0;0;0;1;0;0,454545455;21;0;março;3;2020;6;18:30;Itajaí;SC
21/03/2020;76;1;0;0;0;22;2;0;0;0;1;0;0,454545455;23;2;março;3;2020;7;10:30;Itajaí;SC
21/03/2020;74;1;0;0;0;23;1;0;0;0;1;0;0,454545455;24;1;março;3;2020;8;18:30;Itajaí;SC
21/03/2020;68;7;6;0;0;23;0;0;0;0;7;6;3,181818182;30;6;março;3;2020;9;22:30;Itajaí;SC
22/03/2020;66;7;0;0;0;25;2;0;0;0;7;0;3,181818182;32;2;março;3;2020;10;12:00;Itajaí;SC
22/03/2020;65;7;0;0;0;26;1;0;0;0;7;0;3,181818182;33;1;março;3;2020;11;19:30;Itajaí;SC
23/03/2020;58;7;0;0;0;34;8;0;0;0;7;0;3,181818182;41;8;março;3;2020;12;09:30;Itajaí;SC
23/03/2020;55;7;0;0;0;41;7;0;0;0;7;0;3,181818182;48;7;março;3;2020;13;18:30;Itajaí;SC
24/03/2020;55;7;0;0;0;41;0;0;0;0;7;0;3,181818182;48;0;março;3;2020;14;10:00;Itajaí;SC
24/03/2020;56;10;3;0;0;42;1;0;0;0;10;3;4,545454545;52;4;março;3;2020;15;18:30;Itajaí;SC
25/03/2020;55;10;0;0;0;43;1;0;0;0;10;0;4,545454545;53;1;março;3;2020;16;09:30;Itajaí;SC
25/03/2020;55;12;2;0;0;43;0;0;0;0;12;2;5,454545455;55;2;março;3;2020;17;18:30;Itajaí;SC
26/03/2020;48;12;0;0;0;52;9;0;0;0;12;0;5,454545455;64;9;março;3;2020;18;11:00;Itajaí;SC
26/03/2020;27;16;4;0;0;79;27;0;0;0;16;4;7,272727273;95;31;março;3;2020;19;19:30;Itajaí;SC
27/03/2020;22;17;1;0;0;83;4;0;0;0;17;1;7,727272727;100;5;março;3;2020;20;09:00;Itajaí;SC
27/03/2020;19;18;1;0;0;86;3;0;0;0;18;1;8,181818182;104;4;março;3;2020;21;20:00;Itajaí;SC
28/03/2020;19;18;0;0;0;87;1;0;0;0;18;0;8,181818182;105;1;março;3;2020;22;11:00;Itajaí;SC
28/03/2020;17;18;0;0;0;89;2;0;0;0;18;0;8,181818182;107;2;março;3;2020;23;19:00;Itajaí;SC
29/03/2020;17;18;0;0;0;89;0;0;0;0;18;0;8,181818182;107;0;março;3;2020;24;10:00;Itajaí;SC
29/03/2020;17;18;0;0;0;89;0;0;0;0;18;0;8,181818182;107;0;março;3;2020;25;20:30;Itajaí;SC
30/03/2020;11;18;0;0;0;95;6;0;0;0;18;0;8,181818182;113;6;março;3;2020;26;09:00;Itajaí;SC
30/03/2020;9;18;0;0;0;97;2;0;0;0;18;0;8,181818182;115;2;março;3;2020;27;19:00;Itajaí;SC
31/03/2020;12;18;0;0;0;97;0;0;0;0;18;0;8,181818182;115;0;março;3;2020;28;09:00;Itajaí;SC
31/03/2020;33;18;0;0;0;97;0;0;0;0;18;0;8,181818182;115;0;março;3;2020;29;19:00;Itajaí;SC
01/04/2020;33;18;0;0;0;97;0;0;0;0;18;0;8,181818182;115;0;abril;4;2020;30;09:00;Itajaí;SC
01/04/2020;55;18;0;0;0;97;0;0;0;0;18;0;8,181818182;115;0;abril;4;2020;31;19:00;Itajaí;SC
02/04/2020;55;19;1;0;0;97;0;0;0;0;19;1;8,636363636;116;1;abril;4;2020;32;10:00;Itajaí;SC
02/04/2020;56;19;0;0;0;101;4;0;0;0;19;0;8,636363636;120;4;abril;4;2020;33;19:00;Itajaí;SC
03/04/2020;55;20;1;0;0;101;0;0;0;0;20;1;9,090909091;121;1;abril;4;2020;34;09:00;Itajaí;SC
03/04/2020;69;21;1;12;12;118;17;0;0;0;9;-11;4,090909091;139;18;abril;4;2020;35;19:00;Itajaí;SC
04/04/2020;68;22;1;12;0;118;0;1;1;0,454545455;9;0;4,090909091;140;1;abril;4;2020;36;12:00;Itajaí;SC
04/04/2020;51;23;1;12;0;135;17;1;0;0,454545455;10;1;4,545454545;158;18;abril;4;2020;37;19:00;Itajaí;SC
05/04/2020;43;24;1;12;0;143;8;1;0;0,454545455;11;1;5;167;9;abril;4;2020;38;12:00;Itajaí;SC
05/04/2020;28;26;2;12;0;158;15;1;0;0,454545455;13;2;5,909090909;184;17;abril;4;2020;39;19:30;Itajaí;SC
06/04/2020;11;26;0;12;0;175;17;1;0;0,454545455;13;0;5,909090909;201;17;abril;4;2020;40;10:00;Itajaí;SC
06/04/2020;12;26;0;12;0;180;5;1;0;0,454545455;13;0;5,909090909;206;5;abril;4;2020;41;19:00;Itajaí;SC
07/04/2020;8;27;1;12;0;183;3;1;0;0,454545455;14;1;6,363636364;210;4;abril;4;2020;42;09:00;Itajaí;SC
07/04/2020;25;27;0;15;3;183;0;1;0;0,454545455;11;-3;5;210;0;abril;4;2020;43;19:30;Itajaí;SC
08/04/2020;23;31;4;17;2;185;2;1;0;0,454545455;13;2;5,909090909;216;6;abril;4;2020;44;11:00;Itajaí;SC
08/04/2020;34;31;0;17;0;186;1;1;0;0,454545455;13;0;5,909090909;217;1;abril;4;2020;45;19:00;Itajaí;SC
09/04/2020;8;34;3;17;0;210;24;1;0;0,454545455;16;3;7,272727273;244;27;abril;4;2020;46;09:00;Itajaí;SC
